N,Посада,Мова програмування,Спеціалізація,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Університет,Ще студент,Рівень англійської,Предметна область,Дата заповнення,User.Agent,exp,current_job_exp,salary,Валюта,cls,avg
1,Junior QA engineer,,Manual QA,0.5,0.5,400,0,Харків,до 10 осіб,Аутсорсингова,жіноча,20,Неповна Вища,ХНЕУ,True,Pre-intermediate (нище середнього),"iOS,eCommerce",12/06/2017 12:38:08,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,400,,QA,482.7747524752475
2,Junior QA engineer,,Manual QA,менше 3 місяців,менше 3 місяців,430,130,Харків,більше 1000 осіб,Аутсорсингова,жіноча,21,Неповна Вища,ХНЕУ,True,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 12:42:51,"Mozilla/5.0 (iPad; CPU OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1",0.0,0.0,430,,QA,482.7747524752475
3,Software Engineer,C#/.NET,,4,1,2500,800,Київ,до 1000 осіб,Аутсорсингова,чоловіча,26,Вища,ДонНТУ,False,Intermediate (середній),"Веб-розробка,Корпоративні системи",12/06/2017 13:02:47,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,1.0,2500,,DEV,1678.630073800738
4,Software Engineer,JavaScript,,5,4,2000,400,Одеса,до 200 осіб,Продуктова,чоловіча,30,Середня,,False,Pre-intermediate (нище середнього),"Desktop Applications,Веб-розробка",12/06/2017 13:03:01,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,4.0,2000,,DEV,1678.630073800738
5,Senior Software Engineer,JavaScript,,10 і більше років,0.5,4500,500,Інше,до 10 осіб,Продуктова,чоловіча,30,Технікум / Коледж,,False,Intermediate (середній),"Desktop Applications,Веб-розробка",12/06/2017 13:03:47,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",10.0,0.5,4500,,DEV,3243.2009259259257
6,Project manager,,,1,1,400,0,Київ,до 10 осіб,Стартап,чоловіча,21,Неповна Вища,НАУ,True,Intermediate (середній),Веб-розробка,12/06/2017 13:04:04,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,1.0,1.0,400,,PM,1512.8463611859838
7,Junior Software Engineer,C#/.NET,,1,менше 3 місяців,600,100,Хмельницький,до 50 осіб,Аутсорсингова,чоловіча,23,Вища,ХНУ [м. Хмельницький],False,Pre-intermediate (нище середнього),Веб-розробка,12/06/2017 13:04:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,600,,DEV,605.65859375
8,Senior Software Engineer,C++,,6,1,3300,500,Київ,до 10 осіб,Продуктова,чоловіча,28,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),Інше,12/06/2017 13:04:27,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,6.0,1.0,3300,,DEV,3243.2009259259257
9,Junior Software Engineer,Java,,0.5,0.5,550,550,Харків,більше 1000 осіб,Аутсорсингова,жіноча,23,Вища,ХНУ ім. Каразіна,False,Intermediate (середній),Веб-розробка,12/06/2017 13:04:28,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,0.5,0.5,550,,DEV,605.65859375
10,Sysadmin,,,5,2,520,20,Київ,до 10 осіб,Продуктова,чоловіча,29,Вища,НГУ [Дніпро],False,Intermediate (середній),Системне програмування,12/06/2017 13:05:17,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:52.0) Gecko/20100101 Firefox/52.0,5.0,2.0,520,,,773.5426356589147
11,QA engineer,,General QA,3,2,1600,300,Дніпро,до 200 осіб,Продуктова,чоловіча,25,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 13:05:20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",3.0,2.0,1600,,QA,1176.7046070460704
